category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Isbrød Vanilje og Iskakebunn Vanilje","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Isbombe Jubileums-Is","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Charlotte Iskake Vanilje","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Charlotte Iskake Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Charlotte Iskake Krokan","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:iskakestykker, håndpyntede iskaker, isbrød og iskakebunner","Rokokkodame Jubileums-Is","m","-","-"

"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:isbar","Bella Italia Gelato Banana","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:isbar","Bella Italia Gelato Caffe","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:isbar","Bella Italia Gelato Caramello","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:isbar","Bella Italia Gelato Cioccomenta","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","isbar- og storhusholdningsprodukter:isbar","Bella Italia Gelato Cioccolato","m","-","-"
